service_id,date,exception_type
20180909_MT--F--_61,20190304,1
20180909_MT-T---_73,20190304,1
20180909_MTW-F--_7,20190304,1
20180909_MTWTF--_17,20190304,1
20180909_MTWTF--_30,20190304,1
20190106_M-WT---_40,20190304,1
20190106_MTWTF--_27,20190304,1
20190208_MTWTF--_44,20190304,1
20190208_MTWTF--_56,20190304,1
20190208_MTWTF--_69,20190304,1
20180819_MTWTF--_15,20190305,1
20180909_MT--F--_61,20190305,1
20180909_MT-T---_73,20190305,1
20180909_MTW-F--_7,20190305,1
20180909_MTWTF--_17,20190305,1
20180909_MTWTF--_30,20190305,1
20190106_-T--F--_29,20190305,1
20190106_-T-T---_41,20190305,1
20190106_MTWTF--_27,20190305,1
20190208_MTWTF--_44,20190305,1
20190208_MTWTF--_56,20190305,1
20190208_MTWTF--_69,20190305,1
20180819_MTWTF--_15,20190306,1
20180909_--W----_63,20190306,1
20180909_--W-F--_31,20190306,1
20180909_M-W-F--_18,20190306,1
20180909_MTW-F--_7,20190306,1
20180909_MTWTF--_17,20190306,1
20180909_MTWTF--_30,20190306,1
20190106_M-WT---_40,20190306,1
20190106_MTWTF--_27,20190306,1
20190208_MTWTF--_44,20190306,1
20190208_MTWTF--_56,20190306,1
20190208_MTWTF--_69,20190306,1
20180819_MTWTF--_15,20190307,1
20180909_---T---_8,20190307,1
20180909_MT-T---_73,20190307,1
20180909_MTWTF--_17,20190307,1
20180909_MTWTF--_30,20190307,1
20190106_-T-T---_41,20190307,1
20190106_M-WT---_40,20190307,1
20190106_MTWTF--_27,20190307,1
20190208_MTWTF--_44,20190307,1
20190208_MTWTF--_56,20190307,1
20190208_MTWTF--_69,20190307,1
20180819_----F--_53,20190308,1
20180819_MTWTF--_15,20190308,1
20180909_----F--_62,20190308,1
20180909_--W-F--_31,20190308,1
20180909_M-W-F--_18,20190308,1
20180909_MT--F--_61,20190308,1
20180909_MTW-F--_7,20190308,1
20180909_MTWTF--_17,20190308,1
20180909_MTWTF--_30,20190308,1
20190106_----F--_37,20190308,1
20190106_-T--F--_29,20190308,1
20190106_MTWTF--_27,20190308,1
20190208_----F--_48,20190308,1
20190208_----F--_65,20190308,1
20190208_MTWTF--_44,20190308,1
20190208_MTWTF--_56,20190308,1
20190208_MTWTF--_69,20190308,1
20180819_-----S-_16,20190309,1
20180819_-----S-_60,20190309,1
20180909_-----S-_39,20190309,1
20180909_-----S-_47,20190309,1
20190106_-----S-_28,20190309,1
20190208_-----S-_23,20190309,1
20190208_-----S-_24,20190309,1
20190208_-----S-_9,20190309,1
20180819_------S_14,20190310,1
20180909_------S_5,20190310,1
20180909_------S_6,20190310,1
20190106_------S_38,20190310,1
20190208_------S_68,20190310,1
20190208_------S_70,20190310,1
20180819_MTWTF--_15,20190311,1
20180909_M-W-F--_18,20190311,1
20180909_MT--F--_61,20190311,1
20180909_MT-T---_73,20190311,1
20180909_MTW-F--_7,20190311,1
20180909_MTWTF--_17,20190311,1
20180909_MTWTF--_30,20190311,1
20190106_M-WT---_40,20190311,1
20190106_MTWTF--_27,20190311,1
20190208_MTWTF--_44,20190311,1
20190208_MTWTF--_56,20190311,1
20190208_MTWTF--_69,20190311,1
20180819_MTWTF--_15,20190312,1
20180909_MT--F--_61,20190312,1
20180909_MT-T---_73,20190312,1
20180909_MTW-F--_7,20190312,1
20180909_MTWTF--_17,20190312,1
20180909_MTWTF--_30,20190312,1
20190106_-T--F--_29,20190312,1
20190106_-T-T---_41,20190312,1
20190106_MTWTF--_27,20190312,1
20190208_MTWTF--_44,20190312,1
20190208_MTWTF--_56,20190312,1
20190208_MTWTF--_69,20190312,1
20180819_MTWTF--_15,20190313,1
20180909_--W----_63,20190313,1
20180909_--W-F--_31,20190313,1
20180909_M-W-F--_18,20190313,1
20180909_MTW-F--_7,20190313,1
20180909_MTWTF--_17,20190313,1
20180909_MTWTF--_30,20190313,1
20190106_M-WT---_40,20190313,1
20190106_MTWTF--_27,20190313,1
20190208_MTWTF--_44,20190313,1
20190208_MTWTF--_56,20190313,1
20190208_MTWTF--_69,20190313,1
20180819_MTWTF--_15,20190314,1
20180909_---T---_8,20190314,1
20180909_MT-T---_73,20190314,1
20180909_MTWTF--_17,20190314,1
20180909_MTWTF--_30,20190314,1
20190106_-T-T---_41,20190314,1
20190106_M-WT---_40,20190314,1
20190106_MTWTF--_27,20190314,1
20190208_MTWTF--_44,20190314,1
20190208_MTWTF--_56,20190314,1
20190208_MTWTF--_69,20190314,1
20180819_----F--_53,20190315,1
20180819_MTWTF--_15,20190315,1
20180909_----F--_62,20190315,1
20180909_--W-F--_31,20190315,1
20180909_M-W-F--_18,20190315,1
20180909_MT--F--_61,20190315,1
20180909_MTW-F--_7,20190315,1
20180909_MTWTF--_17,20190315,1
20180909_MTWTF--_30,20190315,1
20190106_----F--_37,20190315,1
20190106_-T--F--_29,20190315,1
20190106_MTWTF--_27,20190315,1
20190208_----F--_48,20190315,1
20190208_----F--_65,20190315,1
20190208_MTWTF--_44,20190315,1
20190208_MTWTF--_56,20190315,1
20190208_MTWTF--_69,20190315,1
20180819_-----S-_16,20190316,1
20180819_-----S-_60,20190316,1
20180909_-----S-_39,20190316,1
20180909_-----S-_47,20190316,1
20190106_-----S-_28,20190316,1
20190208_-----S-_23,20190316,1
20190208_-----S-_24,20190316,1
20190208_-----S-_9,20190316,1
20180819_------S_14,20190317,1
20180909_------S_5,20190317,1
20180909_------S_6,20190317,1
