stop_id,stop_name,stop_lat,stop_lon,location_type
13001201,Arnarneshæð,64.099867000000003,-21.916848999999999,0
13001202,Arnarneshæð,64.099334999999996,-21.913226000000002,0
13001204,Arnarneshæð,64.099529000000004,-21.912901999999999,0
13001206,Vífilsstaðavegur / Sjávargrund,64.091965000000002,-21.929767999999999,0
13001207,Arnarnesvegur / Bæjarbraut,64.098382999999998,-21.903811000000001,0
13001208,Karlabraut / Reynilundur,64.085650999999999,-21.909578,0
13001209,Karlabraut / Espilundur,64.085800000000006,-21.909279000000002,0
13001210,Karlabraut / Furulundur,64.088234999999997,-21.907285000000002,0
13001211,Karlabraut / Búðir,64.089626999999993,-21.904301,0
13001212,Karlabraut / Heiðarlundur,64.088218999999995,-21.907533000000001,0
13001218,Vídalínskirkja,64.086775000000003,-21.916422000000001,0
13001219,Garðatorg,64.087861209459,-21.92007600127,0
13001222,Fjölbrautaskólinn í Garðabæ / FG,64.092528000000001,-21.902847000000001,0
13001223,Bæjarbraut / Blómahæð,64.096422000000004,-21.902784,0
13001224,Karlabraut / Búðir,64.089579999999998,-21.904582999999999,0
13001225,Bæjarbraut / Maltakur,64.096019999999996,-21.90212,0
13001226,Fjölbrautaskólinn í Garðabæ / FG,64.092585,-21.903220999999998,0
13001233,Flatahraun / Álftanesvegur,64.077515000000005,-21.929596,0
13001234,Bæjarbraut / Línakur,64.0979809046859,-21.9071613098249,0
13001300,Ásgarður,64.089679000000004,-21.929797000000001,0
13001301,Ásabraut / Arnarás,64.09075,-21.942955999999999,0
13001302,Ásabraut / Birkiás,64.088076000000001,-21.940529000000002,0
13001303,Ásabraut / Brekkuás,64.086973,-21.942166,0
13001304,Ásabraut / Hraunsholtsbraut,64.085690999999997,-21.950247999999998,0
13001305,Álftanesvegur / Herjólfsgata,64.085065999999998,-21.968357999999998,0
13001306,Álftanesvegur / Garðaholtsvegur,64.089246000000003,-21.982334000000002,0
13001322,Garðahraun,64.084827000000004,-21.958036,0
13001323,Garðahraun,64.084719000000007,-21.957896000000002,0
13001328,Álftanesvegur / Garðaholtsvegur,64.088768999999999,-21.981235000000002,0
13001329,Álftanesvegur / Herjólfsgata,64.084810000000004,-21.967694999999999,0
13001330,Vífilsstaðavegur / Sjáland,64.091666000000004,-21.942917999999999,0
13001333,Vífilsstaðavegur / Sjáland,64.091819999999998,-21.942955999999999,0
13001334,Garðatorg,64.08765,-21.91995,0
13001335,Vídalínskirkja,64.086336000000003,-21.915693999999998,0
13001336,Vífilsstaðavegur / Sjávargrund,64.092021000000003,-21.929625999999999,0
13001343,Suðurhraun,64.077766999999994,-21.926525999999999,0
13001344,Austurhraun / Suðurhraun,64.076160999999999,-21.922743000000001,0
13001345,Marel,64.076783000000006,-21.918972,0
13001346,Austurhraun / Miðhraun,64.078025999999994,-21.914425999999999,0
13001347,Austurhraun / Miðhraun,64.078046999999998,-21.914549000000001,0
13001348,Marel,64.076843999999994,-21.919125999999999,0
13001349,Austurhraun / Suðurhraun,64.076222000000001,-21.922933,0
13001350,Suðurhraun,64.077831000000003,-21.926386999999998,0
13001351,Ásabraut / Hraunsholtsbraut,64.085576000000003,-21.950153,0
13001352,Ásabraut / Brekkuás,64.086952999999994,-21.941986,0
13001353,Ásabraut / Birkiás,64.088123999999993,-21.940318999999999,0
13001354,Ásabraut / Arnarás,64.090879000000001,-21.942775000000001,0
13001355,Sjálandsskóli,64.092082,-21.936259,0
13001356,Sjálandsskóli,64.092176,-21.93456,0
13001361,Kauptún,64.074007,-21.914028,0
13001362,Arnarnesvegur / Nónhæð,64.096512,-21.894143,0
13001504,Hraunsholt,64.086284000000006,-21.937747999999999,0
13001506,Silfurtún,64.095162999999999,-21.922373,0
13001507,Arnarneshæð,64.099366000000003,-21.914992000000002,0
13001523,Hegranes,64.096185000000006,-21.921987999999999,0
13001525,Ásar,64.086354999999998,-21.938268999999998,0
13001584,Flatahraun / Álftanesvegur,64.077451999999994,-21.92963,0
13001585,Góa,64.075887,-21.928453,0
13001586,Reykjanesbraut / Vífilsstaðir,64.082286,-21.890105,0
13001587,Reykjanesbraut / Vífilsstaðavegur,64.083042,-21.896583,0
13001588,Hafnarfjarðarvegur / Ásgarður,64.0902770354474,-21.9294653094709,0
13001589,Hafnarfjarðarvegur / Ásgarður,64.0901120054328,-21.9308091387264,0
14001500,Fjörður,64.067849,-21.957284,0
14001501,Sjónarhóll,64.072041999999996,-21.954509999999999,0
14001502,Hraunbrún,64.075941,-21.951317,0
14001503,Stakkahraun,64.079736999999994,-21.948809000000001,0
14001504,Hjallabraut / Hraunbrún,64.072402,-21.966206,0
14001505,Hjallabraut / Skátaheimilið,64.075421,-21.966105,0
14001506,Hjallabraut / Skjólvangur,64.077295,-21.965835,0
14001512,Hjallabraut / Laufvangur,64.078802,-21.954223,0
14001513,Flatahraun / Sléttahraun,64.075161,-21.950128,0
14001514,Iðnskólinn,64.075418,-21.94595,0
14001515,Kaplakriki,64.0766171163806,-21.9376036338494,0
14001516,Hamraberg / Víðiberg,64.073995,-21.932517,0
14001517,Hamraberg / Lyngberg,64.073107,-21.934333,0
14001518,Hamraberg / Hnotuberg,64.071659,-21.936371,0
14001519,Hamraberg / Einiberg,64.068279,-21.935925,0
14001520,Lækjarskóli,64.0670160143399,-21.93988787921,0
14001521,Selvogsgata,64.06374,-21.946437,0
14001522,Öldutúnsskóli,64.062594,-21.944402,0
14001523,Kaldárselsvegur / Dalsás,64.057965,-21.934665,0
