service_id,date,exception_type
20180201_MTWTF--_5,20180502,1
20180201_MTWTF--_6,20180502,1
20180201_MTWTF--_5,20180503,1
20180201_MTWTF--_6,20180503,1
20180201_MTWTF--_5,20180504,1
20180201_MTWTF--_6,20180504,1
20180201_-----S-_4,20180505,1
20180201_MTWTF--_5,20180507,1
20180201_MTWTF--_6,20180507,1
20180201_MTWTF--_5,20180508,1
20180201_MTWTF--_6,20180508,1
20180201_MTWTF--_5,20180509,1
20180201_MTWTF--_6,20180509,1
20180201_MTWTF--_5,20180510,1
20180201_MTWTF--_6,20180510,1
20180201_MTWTF--_5,20180511,1
20180201_MTWTF--_6,20180511,1
20180201_-----S-_4,20180512,1
20180201_MTWTF--_5,20180514,1
20180201_MTWTF--_6,20180514,1
20180201_MTWTF--_5,20180515,1
20180201_MTWTF--_6,20180515,1
20180201_MTWTF--_5,20180516,1
20180201_MTWTF--_6,20180516,1
20180201_MTWTF--_5,20180517,1
20180201_MTWTF--_6,20180517,1
20180201_MTWTF--_5,20180518,1
20180201_MTWTF--_6,20180518,1
20180201_-----S-_4,20180519,1
20180201_MTWTF--_5,20180522,1
20180201_MTWTF--_6,20180522,1
20180201_MTWTF--_5,20180523,1
20180201_MTWTF--_6,20180523,1
20180201_MTWTF--_5,20180524,1
20180201_MTWTF--_6,20180524,1
20180201_MTWTF--_5,20180525,1
20180201_MTWTF--_6,20180525,1
20180201_-----S-_4,20180526,1
20180201_MTWTF--_5,20180528,1
20180201_MTWTF--_6,20180528,1
20180201_MTWTF--_5,20180529,1
20180201_MTWTF--_6,20180529,1
20180201_MTWTF--_5,20180530,1
20180201_MTWTF--_6,20180530,1
20180201_MTWTF--_5,20180531,1
20180201_MTWTF--_6,20180531,1
20180201_MTWTF--_5,20180601,1
20180201_-----S-_4,20180602,1
20180201_MTWTF--_5,20180604,1
20180201_MTWTF--_5,20180605,1
20180201_MTWTF--_5,20180606,1
20180201_MTWTF--_5,20180607,1
20180201_MTWTF--_5,20180608,1
20180201_-----S-_4,20180609,1
20180201_MTWTF--_5,20180611,1
20180201_MTWTF--_5,20180612,1
20180201_MTWTF--_5,20180613,1
20180201_MTWTF--_5,20180614,1
20180201_MTWTF--_5,20180615,1
20180201_-----S-_4,20180616,1
20180201_MTWTF--_5,20180618,1
20180201_MTWTF--_5,20180619,1
20180201_MTWTF--_5,20180620,1
20180201_MTWTF--_5,20180621,1
20180201_MTWTF--_5,20180622,1
20180201_-----S-_4,20180623,1
20180201_MTWTF--_5,20180625,1
20180201_MTWTF--_5,20180626,1
20180201_MTWTF--_5,20180627,1
20180201_MTWTF--_5,20180628,1
20180201_MTWTF--_5,20180629,1
20180201_-----S-_4,20180630,1
20180201_MTWTF--_5,20180702,1
20180201_MTWTF--_5,20180703,1
20180201_MTWTF--_5,20180704,1
20180201_MTWTF--_5,20180705,1
20180201_MTWTF--_5,20180706,1
20180201_-----S-_4,20180707,1
20180201_MTWTF--_5,20180709,1
20180201_MTWTF--_5,20180710,1
20180201_MTWTF--_5,20180711,1
20180201_MTWTF--_5,20180712,1
20180201_MTWTF--_5,20180713,1
20180201_-----S-_4,20180714,1
20180201_MTWTF--_5,20180716,1
20180201_MTWTF--_5,20180717,1
20180201_MTWTF--_5,20180718,1
20180201_MTWTF--_5,20180719,1
20180201_MTWTF--_5,20180720,1
20180201_-----S-_4,20180721,1
20180201_MTWTF--_5,20180723,1
20180201_MTWTF--_5,20180724,1
20180201_MTWTF--_5,20180725,1
20180201_MTWTF--_5,20180726,1
20180201_MTWTF--_5,20180727,1
20180201_-----S-_4,20180728,1
20180201_MTWTF--_5,20180730,1
20180201_MTWTF--_5,20180731,1
20180201_MTWTF--_5,20180801,1
20180201_MTWTF--_5,20180802,1
20180201_MTWTF--_5,20180803,1
20180201_-----S-_4,20180804,1
20180201_MTWTF--_5,20180806,1
20180201_MTWTF--_5,20180807,1
20180201_MTWTF--_5,20180808,1
20180201_MTWTF--_5,20180809,1
20180201_MTWTF--_5,20180810,1
20180201_-----S-_4,20180811,1
20180201_MTWTF--_5,20180813,1
20180201_MTWTF--_5,20180814,1
20180201_MTWTF--_5,20180815,1
20180201_MTWTF--_5,20180816,1
20180201_MTWTF--_5,20180817,1
20180201_-----S-_4,20180818,1
20180201_MTWTF--_5,20180820,1
20180201_MTWTF--_5,20180821,1
20180201_MTWTF--_5,20180822,1
20180201_MTWTF--_5,20180823,1
20180201_MTWTF--_5,20180824,1
20180201_-----S-_4,20180825,1
